OrdFY25	POAexemptCode	Description
12129	I69.069	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting unspecified side
12131	I69.090	Apraxia following nontraumatic subarachnoid hemorrhage
12132	I69.091	Dysphagia following nontraumatic subarachnoid hemorrhage
12133	I69.092	Facial weakness following nontraumatic subarachnoid hemorrhage
12134	I69.093	Ataxia following nontraumatic subarachnoid hemorrhage
12135	I69.098	Other sequelae following nontraumatic subarachnoid hemorrhage
12137	I69.10	Unspecified sequelae of nontraumatic intracerebral hemorrhage
12139	I69.110	Attention and concentration deficit following nontraumatic intracerebral hemorrhage
12140	I69.111	Memory deficit following nontraumatic intracerebral hemorrhage
12141	I69.112	Visuospatial deficit and spatial neglect following nontraumatic intracerebral hemorrhage
12142	I69.113	Psychomotor deficit following nontraumatic intracerebral hemorrhage
12143	I69.114	Frontal lobe and executive function deficit following nontraumatic intracerebral hemorrhage
12144	I69.115	Cognitive social or emotional deficit following nontraumatic intracerebral hemorrhage
12145	I69.118	Other symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
12146	I69.119	Unspecified symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
12148	I69.120	Aphasia following nontraumatic intracerebral hemorrhage
12149	I69.121	Dysphasia following nontraumatic intracerebral hemorrhage
12150	I69.122	Dysarthria following nontraumatic intracerebral hemorrhage
12151	I69.123	Fluency disorder following nontraumatic intracerebral hemorrhage
12152	I69.128	Other speech and language deficits following nontraumatic intracerebral hemorrhage
12154	I69.131	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right dominant side
12155	I69.132	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left dominant side
12156	I69.133	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
12157	I69.134	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
12158	I69.139	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting unspecified side
12160	I69.141	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right dominant side
12161	I69.142	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left dominant side
12162	I69.143	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
12163	I69.144	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
12164	I69.149	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting unspecified side
12166	I69.151	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side
12167	I69.152	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side
12168	I69.153	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right non-dominant side
12169	I69.154	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side
12170	I69.159	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting unspecified side
12172	I69.161	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right dominant side
12173	I69.162	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left dominant side
12174	I69.163	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right non-dominant side
12175	I69.164	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left non-dominant side
12176	I69.165	"Other paralytic syndrome following nontraumatic intracerebral hemorrhage, bilateral"
12177	I69.169	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting unspecified side
12179	I69.190	Apraxia following nontraumatic intracerebral hemorrhage
12180	I69.191	Dysphagia following nontraumatic intracerebral hemorrhage
12181	I69.192	Facial weakness following nontraumatic intracerebral hemorrhage
12182	I69.193	Ataxia following nontraumatic intracerebral hemorrhage
12183	I69.198	Other sequelae of nontraumatic intracerebral hemorrhage
12185	I69.20	Unspecified sequelae of other nontraumatic intracranial hemorrhage
12187	I69.210	Attention and concentration deficit following other nontraumatic intracranial hemorrhage
12188	I69.211	Memory deficit following other nontraumatic intracranial hemorrhage
12189	I69.212	Visuospatial deficit and spatial neglect following other nontraumatic intracranial hemorrhage
12190	I69.213	Psychomotor deficit following other nontraumatic intracranial hemorrhage
12191	I69.214	Frontal lobe and executive function deficit following other nontraumatic intracranial hemorrhage
12192	I69.215	Cognitive social or emotional deficit following other nontraumatic intracranial hemorrhage
12193	I69.218	Other symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
12194	I69.219	Unspecified symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
12196	I69.220	Aphasia following other nontraumatic intracranial hemorrhage
12197	I69.221	Dysphasia following other nontraumatic intracranial hemorrhage
12198	I69.222	Dysarthria following other nontraumatic intracranial hemorrhage
12199	I69.223	Fluency disorder following other nontraumatic intracranial hemorrhage
12200	I69.228	Other speech and language deficits following other nontraumatic intracranial hemorrhage
12202	I69.231	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right dominant side
12203	I69.232	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left dominant side
12204	I69.233	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
12205	I69.234	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
12206	I69.239	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting unspecified side
12208	I69.241	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right dominant side
12209	I69.242	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left dominant side
12210	I69.243	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
12211	I69.244	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
12212	I69.249	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting unspecified side
12214	I69.251	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side
12215	I69.252	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side
12216	I69.253	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side
12217	I69.254	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side
12218	I69.259	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting unspecified side
12220	I69.261	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right dominant side
12221	I69.262	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left dominant side
12222	I69.263	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right non-dominant side
12223	I69.264	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left non-dominant side
12224	I69.265	"Other paralytic syndrome following other nontraumatic intracranial hemorrhage, bilateral"
12225	I69.269	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting unspecified side
12227	I69.290	Apraxia following other nontraumatic intracranial hemorrhage
12228	I69.291	Dysphagia following other nontraumatic intracranial hemorrhage
12229	I69.292	Facial weakness following other nontraumatic intracranial hemorrhage
12230	I69.293	Ataxia following other nontraumatic intracranial hemorrhage
12231	I69.298	Other sequelae of other nontraumatic intracranial hemorrhage
12233	I69.30	Unspecified sequelae of cerebral infarction
12235	I69.310	Attention and concentration deficit following cerebral infarction
12236	I69.311	Memory deficit following cerebral infarction
12237	I69.312	Visuospatial deficit and spatial neglect following cerebral infarction
12238	I69.313	Psychomotor deficit following cerebral infarction
12239	I69.314	Frontal lobe and executive function deficit following cerebral infarction
12240	I69.315	Cognitive social or emotional deficit following cerebral infarction
12241	I69.318	Other symptoms and signs involving cognitive functions following cerebral infarction
12242	I69.319	Unspecified symptoms and signs involving cognitive functions following cerebral infarction
12244	I69.320	Aphasia following cerebral infarction
12245	I69.321	Dysphasia following cerebral infarction
12246	I69.322	Dysarthria following cerebral infarction
12247	I69.323	Fluency disorder following cerebral infarction
12248	I69.328	Other speech and language deficits following cerebral infarction
12250	I69.331	Monoplegia of upper limb following cerebral infarction affecting right dominant side
12251	I69.332	Monoplegia of upper limb following cerebral infarction affecting left dominant side
12252	I69.333	Monoplegia of upper limb following cerebral infarction affecting right non-dominant side
12253	I69.334	Monoplegia of upper limb following cerebral infarction affecting left non-dominant side
12254	I69.339	Monoplegia of upper limb following cerebral infarction affecting unspecified side
12256	I69.341	Monoplegia of lower limb following cerebral infarction affecting right dominant side
12257	I69.342	Monoplegia of lower limb following cerebral infarction affecting left dominant side
12258	I69.343	Monoplegia of lower limb following cerebral infarction affecting right non-dominant side
12259	I69.344	Monoplegia of lower limb following cerebral infarction affecting left non-dominant side
12260	I69.349	Monoplegia of lower limb following cerebral infarction affecting unspecified side
12262	I69.351	Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
12263	I69.352	Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side
12264	I69.353	Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side
12265	I69.354	Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side
12266	I69.359	Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
12268	I69.361	Other paralytic syndrome following cerebral infarction affecting right dominant side
12269	I69.362	Other paralytic syndrome following cerebral infarction affecting left dominant side
12270	I69.363	Other paralytic syndrome following cerebral infarction affecting right non-dominant side
12271	I69.364	Other paralytic syndrome following cerebral infarction affecting left non-dominant side
12272	I69.365	"Other paralytic syndrome following cerebral infarction, bilateral"
12273	I69.369	Other paralytic syndrome following cerebral infarction affecting unspecified side
12275	I69.390	Apraxia following cerebral infarction
12276	I69.391	Dysphagia following cerebral infarction
12277	I69.392	Facial weakness following cerebral infarction
12278	I69.393	Ataxia following cerebral infarction
12279	I69.398	Other sequelae of cerebral infarction
12281	I69.80	Unspecified sequelae of other cerebrovascular disease
12283	I69.810	Attention and concentration deficit following other cerebrovascular disease
12284	I69.811	Memory deficit following other cerebrovascular disease
12285	I69.812	Visuospatial deficit and spatial neglect following other cerebrovascular disease
12286	I69.813	Psychomotor deficit following other cerebrovascular disease
12287	I69.814	Frontal lobe and executive function deficit following other cerebrovascular disease
12288	I69.815	Cognitive social or emotional deficit following other cerebrovascular disease
12289	I69.818	Other symptoms and signs involving cognitive functions following other cerebrovascular disease
12290	I69.819	Unspecified symptoms and signs involving cognitive functions following other cerebrovascular disease
12292	I69.820	Aphasia following other cerebrovascular disease
12293	I69.821	Dysphasia following other cerebrovascular disease
12294	I69.822	Dysarthria following other cerebrovascular disease
12295	I69.823	Fluency disorder following other cerebrovascular disease
12296	I69.828	Other speech and language deficits following other cerebrovascular disease
12298	I69.831	Monoplegia of upper limb following other cerebrovascular disease affecting right dominant side
12299	I69.832	Monoplegia of upper limb following other cerebrovascular disease affecting left dominant side
12300	I69.833	Monoplegia of upper limb following other cerebrovascular disease affecting right non-dominant side
12301	I69.834	Monoplegia of upper limb following other cerebrovascular disease affecting left non-dominant side
12302	I69.839	Monoplegia of upper limb following other cerebrovascular disease affecting unspecified side
12304	I69.841	Monoplegia of lower limb following other cerebrovascular disease affecting right dominant side
12305	I69.842	Monoplegia of lower limb following other cerebrovascular disease affecting left dominant side
12306	I69.843	Monoplegia of lower limb following other cerebrovascular disease affecting right non-dominant side
12307	I69.844	Monoplegia of lower limb following other cerebrovascular disease affecting left non-dominant side
12308	I69.849	Monoplegia of lower limb following other cerebrovascular disease affecting unspecified side
12310	I69.851	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side
12311	I69.852	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side
12312	I69.853	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side
12313	I69.854	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side
12314	I69.859	Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side
12316	I69.861	Other paralytic syndrome following other cerebrovascular disease affecting right dominant side
12317	I69.862	Other paralytic syndrome following other cerebrovascular disease affecting left dominant side
12318	I69.863	Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side
12319	I69.864	Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side
12320	I69.865	"Other paralytic syndrome following other cerebrovascular disease, bilateral"
12321	I69.869	Other paralytic syndrome following other cerebrovascular disease affecting unspecified side
12323	I69.890	Apraxia following other cerebrovascular disease
12324	I69.891	Dysphagia following other cerebrovascular disease
12325	I69.892	Facial weakness following other cerebrovascular disease
12326	I69.893	Ataxia following other cerebrovascular disease
12327	I69.898	Other sequelae of other cerebrovascular disease
12329	I69.90	Unspecified sequelae of unspecified cerebrovascular disease
12340	I69.920	Aphasia following unspecified cerebrovascular disease
12341	I69.921	Dysphasia following unspecified cerebrovascular disease
12342	I69.922	Dysarthria following unspecified cerebrovascular disease
12343	I69.923	Fluency disorder following unspecified cerebrovascular disease
12344	I69.928	Other speech and language deficits following unspecified cerebrovascular disease
12346	I69.931	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side
12347	I69.932	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side
12348	I69.933	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side
12349	I69.934	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side
12350	I69.939	Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side
12352	I69.941	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side
12353	I69.942	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side
12354	I69.943	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side
12355	I69.944	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side
12356	I69.949	Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side
12358	I69.951	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side
12359	I69.952	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side
12360	I69.953	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side
12361	I69.954	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side
12362	I69.959	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side
12364	I69.961	Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side
12365	I69.962	Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side
12366	I69.963	Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side
12367	I69.964	Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side
12368	I69.965	"Other paralytic syndrome following unspecified cerebrovascular disease, bilateral"
12369	I69.969	Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side
12371	I69.990	Apraxia following unspecified cerebrovascular disease
12372	I69.991	Dysphagia following unspecified cerebrovascular disease
12373	I69.992	Facial weakness following unspecified cerebrovascular disease
12374	I69.993	Ataxia following unspecified cerebrovascular disease
12375	I69.998	Other sequelae following unspecified cerebrovascular disease
21424	M80.00XD	"Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with routine healing"
21425	M80.00XG	"Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with delayed healing"
21426	M80.00XK	"Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with nonunion"
21427	M80.00XP	"Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with malunion"
21428	M80.00XS	"Age-related osteoporosis with current pathological fracture, unspecified site, sequela"
21432	M80.011D	"Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with routine healing"
21433	M80.011G	"Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with delayed healing"
21434	M80.011K	"Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with nonunion"
21435	M80.011P	"Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with malunion"
21436	M80.011S	"Age-related osteoporosis with current pathological fracture, right shoulder, sequela"
21439	M80.012D	"Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with routine healing"
21440	M80.012G	"Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with delayed healing"
21441	M80.012K	"Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with nonunion"
21442	M80.012P	"Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with malunion"
21443	M80.012S	"Age-related osteoporosis with current pathological fracture, left shoulder, sequela"
21446	M80.019D	"Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with routine healing"
21447	M80.019G	"Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with delayed healing"
21448	M80.019K	"Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with nonunion"
21449	M80.019P	"Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with malunion"
21450	M80.019S	"Age-related osteoporosis with current pathological fracture, unspecified shoulder, sequela"
21454	M80.021D	"Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with routine healing"
21455	M80.021G	"Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with delayed healing"
21456	M80.021K	"Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with nonunion"
21457	M80.021P	"Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with malunion"
21458	M80.021S	"Age-related osteoporosis with current pathological fracture, right humerus, sequela"
21461	M80.022D	"Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with routine healing"
21462	M80.022G	"Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with delayed healing"
21463	M80.022K	"Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with nonunion"
21464	M80.022P	"Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with malunion"
21465	M80.022S	"Age-related osteoporosis with current pathological fracture, left humerus, sequela"
21468	M80.029D	"Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with routine healing"
21469	M80.029G	"Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with delayed healing"
21470	M80.029K	"Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with nonunion"
21471	M80.029P	"Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with malunion"
21472	M80.029S	"Age-related osteoporosis with current pathological fracture, unspecified humerus, sequela"
21476	M80.031D	"Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with routine healing"
21477	M80.031G	"Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with delayed healing"
21478	M80.031K	"Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with nonunion"
21479	M80.031P	"Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with malunion"
21480	M80.031S	"Age-related osteoporosis with current pathological fracture, right forearm, sequela"
21483	M80.032D	"Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with routine healing"
21484	M80.032G	"Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with delayed healing"
21485	M80.032K	"Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with nonunion"
21486	M80.032P	"Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with malunion"
21487	M80.032S	"Age-related osteoporosis with current pathological fracture, left forearm, sequela"
21490	M80.039D	"Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with routine healing"
21491	M80.039G	"Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with delayed healing"
21492	M80.039K	"Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with nonunion"
21493	M80.039P	"Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with malunion"
21494	M80.039S	"Age-related osteoporosis with current pathological fracture, unspecified forearm, sequela"
21498	M80.041D	"Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with routine healing"
21499	M80.041G	"Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with delayed healing"
21500	M80.041K	"Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with nonunion"
21501	M80.041P	"Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with malunion"
21502	M80.041S	"Age-related osteoporosis with current pathological fracture, right hand, sequela"
21505	M80.042D	"Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with routine healing"
21506	M80.042G	"Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with delayed healing"
21507	M80.042K	"Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with nonunion"
21508	M80.042P	"Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with malunion"
21509	M80.042S	"Age-related osteoporosis with current pathological fracture, left hand, sequela"
21512	M80.049D	"Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with routine healing"
21513	M80.049G	"Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with delayed healing"
21514	M80.049K	"Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with nonunion"
21515	M80.049P	"Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with malunion"
21516	M80.049S	"Age-related osteoporosis with current pathological fracture, unspecified hand, sequela"
21520	M80.051D	"Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with routine healing"
21521	M80.051G	"Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with delayed healing"
21522	M80.051K	"Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with nonunion"
21523	M80.051P	"Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with malunion"
21524	M80.051S	"Age-related osteoporosis with current pathological fracture, right femur, sequela"
21527	M80.052D	"Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with routine healing"
21528	M80.052G	"Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with delayed healing"
21529	M80.052K	"Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with nonunion"
21530	M80.052P	"Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with malunion"
21531	M80.052S	"Age-related osteoporosis with current pathological fracture, left femur, sequela"
21534	M80.059D	"Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with routine healing"
21535	M80.059G	"Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with delayed healing"
21536	M80.059K	"Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with nonunion"
21537	M80.059P	"Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with malunion"
21538	M80.059S	"Age-related osteoporosis with current pathological fracture, unspecified femur, sequela"
21542	M80.061D	"Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with routine healing"
21543	M80.061G	"Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with delayed healing"
21544	M80.061K	"Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with nonunion"
21545	M80.061P	"Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with malunion"
21546	M80.061S	"Age-related osteoporosis with current pathological fracture, right lower leg, sequela"
21549	M80.062D	"Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with routine healing"
21550	M80.062G	"Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with delayed healing"
21551	M80.062K	"Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with nonunion"
21552	M80.062P	"Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with malunion"
21553	M80.062S	"Age-related osteoporosis with current pathological fracture, left lower leg, sequela"
